2025-05-15 08:55:54,Sprite,1
2025-05-19 10:05:28,Milk tea,1
2025-05-19 11:20:58,Coke,1
2025-05-19 11:21:14,Sprite,1
2025-05-19 11:21:17,Coke,1
2025-05-19 11:21:20,Milk tea,1
2025-05-19 11:21:22,Red tea,1
2025-05-19 11:21:34,Milk tea,1
2025-05-19 11:21:37,Red tea,1
2025-05-19 11:21:41,Red tea,1
2025-05-19 11:21:45,Coke,1
2025-05-19 11:21:54,Sprite,1
2025-05-19 11:21:57,Milk tea,1
2025-05-19 11:22:01,Coke,1
2025-05-19 11:22:06,Sprite,1
2025-05-19 11:22:11,Milk tea,1
2025-05-19 11:22:14,Red tea,1
2025-05-19 11:22:27,Coke,1
2025-05-19 11:22:31,Red tea,1
2025-05-19 11:22:35,Sprite,1
